,pr_gene_symbol,coefficient
23271,CAMSAP2,0.004604838848660017
9915,ARNT2,-0.013715224489466405
9552,SPAG7,-0.030075193706572332
93487,MAPK1IP1L,-0.0031727714963858604
2956,MSH6,0.00509485582501894
11065,UBE2C,0.02738528060040467
9653,HS2ST1,0.022092333267975956
200081,TXLNA,-0.010539600843447561
3337,DNAJB1,0.0060073919785253735
11073,TOPBP1,0.02486715583335745
23,ABCF1,-0.01950196823010511
5641,LGMN,0.011281280520231562
8720,MBTPS1,0.023870659951762088
10782,ZNF274,-0.0008031838444189569
25932,CLIC4,0.0014471108177678714
3028,HSD17B10,0.019022685448197522
6804,STX1A,0.006205270316744495
890,CCNA2,0.070479958330468
6390,SDHB,0.0016943737742417552
4303,FOXO4,-0.0014377167599977834
10953,TOMM34,0.010245071631584186
22889,KIAA0907,-0.032703865579807985
3098,HK1,0.013613246514217995
11044,PAPD7,0.017048319516898797
8985,PLOD3,0.012393352030333479
66008,TRAK2,-0.022326403736650225
9217,VAPB,0.008685161492799664
701,BUB1B,-0.011383135461022507
6182,MRPL12,0.006340659491898653
4860,PNP,0.025120319259851375
7398,USP1,-0.01468250455933231
6117,RPA1,-0.02782446447620605
23588,KLHDC2,0.008414221787586195
949,SCARB1,-0.0019730102945886515
7168,TPM1,-6.312635055671426e-05
9375,TM9SF2,-0.02832832651252105
4927,NUP88,0.023863954563200025
2523,FUT1,-0.01744247179571181
58497,PRUNE,0.006710351468626876
6856,SYPL1,-0.0004346936772308423
26036,ZNF451,-0.04628667695959994
10206,TRIM13,0.001848667656200484
25793,FBXO7,-0.013759242468162642
55556,ENOSF1,0.0265142929879565
3978,LIG1,0.009099397929509033
10681,GNB5,-0.00628350732156011
3638,INSIG1,0.01957398706669617
8349,HIST2H2BE,-0.017042571514938907
6275,S100A4,-0.0009439055485414618
3895,KTN1,-0.009695137397770871
392,ARHGAP1,-0.019056907469082927
9170,LPAR2,-0.012789438697846014
80347,COASY,0.026854329386451527
23300,ATMIN,0.009152573065747037
836,CASP3,0.0019407727945442352
11188,NISCH,-0.013525292011368541
10898,CPSF4,-0.030547351004329152
9276,COPB2,-0.00040171454087167276
1647,GADD45A,-0.05006099049325153
10285,SMNDC1,-0.0454636934770772
23386,NUDCD3,0.012398356419773032
3156,HMGCR,0.022426550238219878
10237,SLC35B1,0.005123253213353395
7077,TIMP2,0.014227314233539337
11157,LSM6,0.015959264239151852
22908,SACM1L,-0.009382439298538992
10915,TCERG1,-0.011499381226085044
9897,KIAA0196,-0.01574689118376483
1759,DNM1,0.021911648297414193
54541,DDIT4,-0.01924737965724175
211,ALAS1,-0.021836321800899616
5048,PAFAH1B1,-0.0060872026215194434
84722,PSRC1,-0.002595822168129978
29890,RBM15B,-0.021827944195964868
9868,TOMM70A,-0.02153379872857539
873,CBR1,0.0460397878883585
5580,PRKCD,0.040993981991887696
3725,JUN,-0.029145684814230854
23585,TMEM50A,-0.0032334600391314377
51097,SCCPDH,0.0022634788864334663
1831,TSC22D3,-0.031686082034579885
7020,TFAP2A,0.03085293733477117
55893,ZNF395,0.0013015030090166126
6944,VPS72,0.011205929297652987
22883,CLSTN1,0.003073140937941873
5601,MAPK9,0.011014220673715049
10775,POP4,-0.013004171419240209
4780,NFE2L2,0.026227238426693195
10904,BLCAP,-0.004788773551502718
9917,FAM20B,0.0153024778600622
1399,CRKL,0.013612090677796037
24149,ZNF318,-0.008397670654354051
2222,FDFT1,-0.015055628981877381
10131,TRAP1,0.019323209857834825
2958,GTF2A2,0.024516654080668117
9650,MTFR1,0.01316035349786824
7319,UBE2A,-0.009277274674393042
4817,NIT1,0.0048483299109934085
9143,SYNGR3,-9.239178532752623e-05
10494,STK25,0.01879450145344776
55324,ABCF3,-0.010375707784178503
23149,FCHO1,-0.0007145947916302554
9943,OXSR1,-0.0345761202852921
6599,SMARCC1,-0.019935298733013435
51031,GLOD4,0.008355653227326582
3566,IL4R,-4.5509739972656386e-05
3815,KIT,-0.000553916324792694
8624,PSMG1,-0.0004079928687737177
27346,TMEM97,0.04510565120363226
10489,LRRC41,0.0013378467863819252
26128,KIF1BP,-0.0016773168753474424
79921,TCEAL4,-0.03407826067949472
55746,NUP133,-0.013532826980156058
23636,NUP62,0.007074648357401435
10892,MALT1,-0.018244963664563296
10652,YKT6,-0.010925613746982948
11004,KIF2C,-0.002881936780363456
23530,NNT,-0.012381876366493988
8826,IQGAP1,0.01915404361240044
3308,HSPA4,-0.0011626492938501705
7153,TOP2A,0.014250519468456471
11041,B4GAT1,0.0035915166515978437
6342,SCP2,-0.015645901323792778
5883,RAD9A,-0.0017046206893582448
10589,DRAP1,-0.03396384240135351
5110,PCMT1,-0.001674902899988236
4609,MYC,0.0026144601546903533
5423,POLB,-0.006534010492960561
1070,CETN3,-0.020699346452043244
10051,SMC4,0.009248519373064545
6603,SMARCD2,-0.01618367778270038
9019,MPZL1,-0.009924802013046696
10969,EBNA1BP2,0.02749523288609014
9797,TATDN2,-0.006496709454065076
4043,LRPAP1,0.008501436591859637
9519,TBPL1,0.007700334531592857
8480,RAE1,-0.0016679503303982527
983,CDK1,-0.01617913053061165
10559,SLC35A1,0.0050293203643879646
8508,NIPSNAP1,0.012700459615634884
9275,BCL7B,0.0017689806535773542
8914,TIMELESS,0.0058048655479423636
54505,DHX29,0.01552751379029504
6919,TCEA2,-0.008349015121445863
2274,FHL2,-0.018020351234270846
2288,FKBP4,-0.016607701096094
7994,KAT6A,0.00803479813438403
4216,MAP3K4,0.013472557681365536
7538,ZFP36,-0.0006828428958132195
3628,INPP1,0.0006287750982102859
2037,EPB41L2,0.016547431929714477
2771,GNAI2,-0.01663471979601624
7264,TSTA3,0.019609199002041146
1786,DNMT1,0.02960875320960566
5873,RAB27A,0.0021232919965732565
780,DDR1,-0.01705779985165233
9926,LPGAT1,0.016417039190750476
8446,DUSP11,-0.0300556819745809
7159,TP53BP2,0.003268889540478122
1026,CDKN1A,-0.02794561308390001
7082,TJP1,0.015012074101561452
10058,ABCB6,0.026123640565642384
10797,MTHFD2,0.013666375418141165
11230,PRAF2,0.0045013726336080835
30836,DNTTIP2,0.006743348241158204
27336,HTATSF1,-0.0022351465916865343
9918,NCAPD2,-0.009453767577227106
79073,TMEM109,0.010369898743188135
9688,NUP93,-0.00853660210250841
23659,PLA2G15,0.019918747932348664
8396,PIP4K2B,-0.00787914301503172
23077,MYCBP2,0.00628618551280979
10857,PGRMC1,-0.0014467183660685846
16,AARS,0.0008452383227169245
2817,GPC1,-0.004319345506196534
60528,ELAC2,-0.008621498712466041
5359,PLSCR1,0.02116543819848374
1514,CTSL,-0.00568985613765786
1509,CTSD,-0.023953328941019845
9181,ARHGEF2,-0.01814823166040338
3611,ILK,0.012415658184001819
4783,NFIL3,3.6142651210477626e-05
10123,ARL4C,0.017593324627855955
8895,CPNE3,-0.0054341676262704055
