,pr_gene_symbol,coefficient
8396,PIP4K2B,-0.0026524088523008807
23077,MYCBP2,0.0013468275164896836
10857,PGRMC1,0.01094812563948054
16,AARS,0.0037912405447145464
2817,GPC1,0.00019301230753072962
60528,ELAC2,-0.0010490790097282044
5359,PLSCR1,0.001217203138510254
1514,CTSL,-0.00010511002997503679
1509,CTSD,-0.0058469797799435555
9181,ARHGEF2,0.004501433535215128
3611,ILK,-0.001460736619992503
4783,NFIL3,-0.008156420101699355
10123,ARL4C,0.003666991268439375
8895,CPNE3,0.005866061693463542
9805,SCRN1,0.003115709916798263
4125,MAN2B1,-0.001900556091262666
1635,DCTD,-0.0011230324604485594
4154,MBNL1,0.004576770449939274
26292,MYCBP,0.0028103958493323413
5770,PTPN1,-0.0027093410749218123
25874,MPC2,0.0029512266099151296
11319,ECD,-0.00027062253853778613
1153,CIRBP,-0.0007089063356973791
11098,PRSS23,0.005108210915191006
8974,P4HA2,0.008484674934182075
533,ATP6V0B,-0.0035838132570229927
823,CAPN1,0.0020593087195503366
6812,STXBP1,-0.002128078220419271
3693,ITGB5,0.002215786566018235
4891,SLC11A2,-0.0015973267055119655
10954,PDIA5,-0.002156472736445597
5909,RAP1GAP,0.004905233684283153
9221,NOLC1,-0.00022118315695313705
847,CAT,0.0018074902891415143
11072,DUSP14,0.0026299320876193998
10221,TRIB1,0.0018944931462819153
7158,TP53BP1,0.0002124669932214711
8678,BECN1,-0.00217833378700684
11014,KDELR2,0.0011494371593035995
1994,ELAVL1,0.0015112445097405804
3482,IGF2R,-0.006967055308180384
25976,TIPARP,-0.009394615812358327
10491,CRTAP,-0.0035350061833506422
51053,GMNN,0.001213810814920547
9267,CYTH1,0.0006675619897389284
5547,PRCP,-0.001886373490616226
6597,SMARCA4,-0.0028118586519011585
5836,PYGL,0.004670676648957307
6118,RPA2,0.00040126396274283723
2961,GTF2E2,-7.504949820682759e-05
310,ANXA7,-0.006351136942917145
7296,TXNRD1,-0.0011235803404541233
1429,CRYZ,-0.0006905290851057346
2548,GAA,-0.003706722795882237
6499,SKIV2L,-0.002016179044638815
642,BLMH,0.006166037583690929
23076,RRP1B,0.0012890743264815103
10099,TSPAN3,0.005438409636285666
9817,KEAP1,-0.004965085219376751
9126,SMC3,-8.224780938048536e-05
3930,LBR,-2.1404028957968444e-06
10450,PPIE,-0.0029424686241912327
54386,TERF2IP,-4.171209440703191e-05
664,BNIP3,0.0015500588508865413
596,BCL2,-0.0030867236674633476
10180,RBM6,-0.007029783398584835
1445,CSK,-0.010868791454059385
230,ALDOC,-0.00046774232701470654
9246,UBE2L6,0.0030080131059670285
5092,PCBD1,-0.001393969400512855
23463,ICMT,0.0074448791876420275
10007,GNPDA1,-0.0015501856617170877
4925,NUCB2,-0.000743155352914707
6251,RSU1,0.004033481113598982
5782,PTPN12,-0.005036765863526815
5106,PCK2,-0.0034624903105454382
2673,GFPT1,0.0022799427944959517
644,BLVRA,0.004422591684836785
6284,S100A13,0.0009862515486420563
4605,MYBL2,-0.0030793890296705114
6810,STX4,0.004784218827436415
54499,TMCO1,-0.0007744928127437421
11007,CCDC85B,0.0024757575428795376
1643,DDB2,-0.0025046531222192086
25805,BAMBI,0.000124554467380083
3033,HADH,-0.0036860196384922326
2745,GLRX,-0.0013335825842631479
9961,MVP,-0.0004793819580374186
3925,STMN1,-0.0005495533697616701
2582,GALE,0.011021709197505296
5792,PTPRF,0.004115978989667938
5236,PGM1,-0.004198739957932477
4016,LOXL1,0.0014110863454997488
4651,MYO10,0.005872855243348834
3988,LIPA,-0.0037709090489838277
26227,PHGDH,0.005453750483846147
7982,ST7,0.00123684028343216
3551,IKBKB,-0.004830966445497599
5108,PCM1,-0.0025461900431375706
8870,IER3,0.005258255553609449
2195,FAT1,-0.005198512990709986
8731,RNMT,0.002778336075675778
1956,EGFR,-0.002756174756367625
10276,NET1,-0.002558565802225906
1666,DECR1,0.002616921630901521
4864,NPC1,-0.006145100627136632
4232,MEST,0.0012712822486771226
5050,PAFAH1B3,0.010937640840693668
813,CALU,-0.004363175819793549
3964,LGALS8,0.007039975942319958
26020,LRP10,-0.01283169135140188
481,ATP1B1,-0.0026793444911369984
5019,OXCT1,0.001825716725983411
291,SLC25A4,-0.007162178130167262
10973,ASCC3,0.008507056126060005
9697,TRAM2,0.0057979150014859605
5831,PYCR1,-0.005245518530012255
8202,NCOA3,-0.005043916708258963
57804,POLD4,-0.0010273618208468571
5566,PRKACA,0.002048307209024591
57149,LYRM1,0.00010001950824366598
7416,VDAC1,-0.002852592396885506
10174,SORBS3,0.005465878919729195
6676,SPAG4,-0.001541328719775202
8884,SLC5A6,-0.003080939563373815
5997,RGS2,-0.008863397030473246
57147,SCYL3,0.0004006126660790396
6909,TBX2,-0.00029039557434229815
9093,DNAJA3,0.0001333958810743405
23142,DCUN1D4,-0.0010397534384613875
8444,DYRK3,-0.0009937857662847512
11232,POLG2,-0.0030462411400568996
27095,TRAPPC3,0.0012503480318409692
10732,TCFL5,0.006093462705500142
23029,RBM34,-0.0005493693263347629
9270,ITGB1BP1,-0.0007668638195465207
47,ACLY,-0.0001113470724994224
5889,RAD51C,-0.001403269565817316
8243,SMC1A,-0.00012449822298311565
10730,YME1L1,0.0004839119274791022
30,ACAA1,-0.0016167127088840985
7466,WFS1,0.0034234274504855067
89910,UBE3B,0.008564396301553208
56654,NPDC1,0.00039671747973841413
501,ALDH7A1,0.006369429363348305
5438,POLR2I,0.002845825997445013
26993,AKAP8L,-0.006949214857875186
55111,PLEKHJ1,-0.0016199152246287758
8520,HAT1,-0.0010738696172657462
10146,G3BP1,-0.0029178951034711776
7165,TPD52L2,-0.006623832931614491
55011,PIH1D1,0.001849521076737205
6461,SHB,-0.00024520941774574254
10813,UTP14A,0.0020342115914719523
80746,TSEN2,-0.004286934564489452
10434,LYPLA1,-0.007077108706363052
5607,MAP2K5,0.001641015391887658
22827,PUF60,0.0023976044508673597
51635,DHRS7,3.522782348541302e-05
84159,ARID5B,0.0004251667543080774
3508,IGHMBP2,-0.004165159734646345
84890,ADO,-0.0007140791741972312
79600,TCTN1,-0.00034275626572928574
8574,AKR7A2,0.004024436751120429
5529,PPP2R5E,-0.002025124955669386
3909,LAMA3,-0.0039199196031791655
9637,FEZ2,0.006941311267821435
8518,IKBKAP,0.00385324978305997
6443,SGCB,-0.002941162961367713
58478,ENOPH1,-0.002093637609733412
4850,CNOT4,-0.0018816104103739747
23210,JMJD6,-0.001445579427184069
54733,SLC35F2,-0.00038493448079897244
55129,ANO10,-0.0031024059426768827
10273,STUB1,0.002410668604500711
572,BAD,0.0007267646139852339
5716,PSMD10,-0.004909485379720723
22841,RAB11FIP2,0.0008406457958346283
2356,FPGS,-0.0013029503705733595
6050,RNH1,0.0005264214424277986
64422,ATG3,0.0027332140223935604
8837,CFLAR,-0.002575182864857793
55127,HEATR1,0.0008211561271170573
23335,WDR7,-0.001138094387711941
10270,AKAP8,-0.0013399474287510028
6509,SLC1A4,0.0005043879695110885
83743,GRWD1,-0.0006213574519343501
6772,STAT1,0.001518832558854027
22887,FOXJ3,0.00019637632983683482
51001,MTERF3,-0.004594909747716896
26511,CHIC2,0.003689826982186361
7874,USP7,0.0017465799053909626
51070,NOSIP,0.004387811012298934
1738,DLD,-0.003901625751154467
3416,IDE,0.004298550357693623
9128,PRPF4,-0.0018218598359562859
9833,MELK,0.0014266879375508061
4088,SMAD3,-0.001592891580895701
5018,OXA1L,-0.0039963779573254
51375,SNX7,-0.008036737070627787
55038,CDCA4,0.00651734670932129
23061,TBC1D9B,-0.0009929766439221582
64428,NARFL,0.00026892712819204327
11325,DDX42,0.0011583741700456234
9641,IKBKE,0.0003213856956703671
23038,WDTC1,0.0038287228913158836
57048,PLSCR3,-0.003338220013217397
94239,H2AFV,-0.0002010357323473254
51203,NUSAP1,-0.0029020551467025483
388650,FAM69A,0.0029359128351004
23039,XPO7,-0.0016110010460092608
55179,FAIM,-0.00046599502032475986
5827,PXMP2,0.0035392795684816183
10245,TIMM17B,0.005211549513093066
6813,STXBP2,-0.0013219092254524527
3251,HPRT1,0.0015715261216133224
23212,RRS1,2.1364882364532687e-05
23536,ADAT1,-0.004089098702018641
51282,SCAND1,0.0025788907660564448
10227,MFSD10,0.005419494510327715
50813,COPS7A,0.0032919842061191152
51024,FIS1,-0.0010087471105047184
53343,NUDT9,0.0027655432771503327
1465,CSRP1,0.0033194029331193565
79006,METRN,0.0019291346087330211
6988,TCTA,0.002073601129540008
11011,TLK2,0.0061981034386590665
23325,KIAA1033,0.000824069782502229
10049,DNAJB6,0.002557733992157254
3157,HMGCS1,-0.0020009066710652496
200734,SPRED2,0.0004565595446474182
9053,MAP7,-0.0010662232126841093
79094,CHAC1,0.002155913206878422
2778,GNAS,0.0010177705654636777
54881,TEX10,-7.564671959779702e-06
54807,ZNF586,0.0029982650668375598
323,APBB2,-0.00045874357436981794
26001,RNF167,-0.005471057474540727
10190,TXNDC9,0.0028414751883294896
9686,VGLL4,0.0010101246071519063
54915,YTHDF1,-0.0015657478366655844
23658,LSM5,0.0006055190474895293
7750,ZMYM2,-0.00025693502179128646
79643,CHMP6,-0.0012713396533146025
9488,PIGB,0.00039521529975636614
11200,CHEK2,0.00224022809504139
65057,ACD,-0.0011432455540598626
6832,SUPV3L1,0.0019646573522553524
23131,GPATCH8,0.00024356386381015478
10776,ARPP19,0.00026080434106251575
6253,RTN2,0.00041576059162907276
79716,NPEPL1,-0.0010103637856087918
29978,UBQLN2,0.001166682387955704
9988,DMTF1,-0.0025065280003795645
10845,CLPX,-0.0033460195838549292
54957,TXNL4B,-0.0015175966096187138
79170,PRR15L,0.0030880148439979744
10610,ST6GALNAC2,-0.001665353134729338
128,ADH5,0.005694717698951739
51026,GOLT1B,0.0008378528149260139
5498,PPOX,0.0026384739845322944
124583,CANT1,-0.0020707487484764252
9455,HOMER2,-0.0013452574119223093
1212,CLTB,0.0007753256868447297
5255,PHKA1,-0.0015115204051207416
9448,MAP4K4,-0.0006665506556175727
9924,PAN2,-0.003045698306949903
5480,PPIC,0.0026933469158166414
1983,EIF5,0.0019310257220932654
56889,TM9SF3,0.006082655332082397
79080,CCDC86,-0.00110567379043267
9016,SLC25A14,0.002802136242032342
6915,TBXA2R,0.001453651138436746
9709,HERPUD1,-0.00040674436275928556
116832,RPL39L,-0.0005438334129316021
670,BPHL,-0.00312792904042402
7867,MAPKAPK3,0.0007373900553444883
79143,MBOAT7,0.001259574911114659
11284,PNKP,0.0034047217434828446
23443,SLC35A3,0.009657221102959449
51599,LSR,-0.00035605006301284907
5927,KDM5A,0.0008980541711053323
55793,FAM63A,0.001568853947240244
5867,RAB4A,0.005298266958217829
7866,IFRD2,0.00023973684286077347
25825,BACE2,-0.0015069297679040328
4067,LYN,0.0016703697604226492
51015,ISOC1,-0.004320069300578935
5891,MOK,0.0013203880512470396
3300,DNAJB2,0.0004809550228337271
64781,CERK,0.003977754932377051
51056,LAP3,-0.0036924352804505295
8550,MAPKAPK5,0.0007082207062845658
50810,HDGFRP3,-0.0013522181751916898
23011,RAB21,-0.0010960904288354768
11168,PSIP1,-0.0011104288074348804
1385,CREB1,-0.00010436731468958998
10150,MBNL2,0.0018176205809140116
29763,PACSIN3,0.0012426055581131273
9112,MTA1,0.0031594463772571324
23499,MACF1,0.0009620341196404221
85236,HIST1H2BK,-0.0028805735428166497
