	pert_id	pert_iname	inchi_key_prefix	inchi_key	canonical_smiles	pubchem_cid
4277	BRD-K15108141	gemcitabine	SDUQYLNIPVEERB	SDUQYLNIPVEERB-QPPQHZFASA-N	Nc1ccn([C@@H]2O[C@H](CO)[C@@H](O)C2(F)F)c(=O)n1	60749
4278	BRD-K15108654	BRD-K15108654	NFTCJLSEEOPUCW	NFTCJLSEEOPUCW-SMIHKQSGSA-N	OC[C@@H]1[C@H]([C@@H](C#N)N1C(=O)c1cccnc1)c1ccc(cc1)C#Cc1ccccc1F	54649935
4279	BRD-K15111910	BRD-K15111910	AJBUMCZTMHNJAQ	AJBUMCZTMHNJAQ-JKHIJQBDSA-N	COc1cccc(c1)-c1ccc(cc1)[C@H]1[C@H]2CN(C[C@@H]1N2)C(=O)C1CCOCC1	60184913
4280	BRD-K15126665	BRD-K15126665	VFKJMYCCVOFSSP	VFKJMYCCVOFSSP-UMEGOILYSA-N	C[C@H](CO)N1C[C@@H](C)[C@@H](CN(C)Cc2ccccc2F)Oc3ncc(C#CCN(C)C)cc3C1=O	54625244
4281	BRD-K15142057	BRD-K15142057	VPHPWASIVZFRRJ	VPHPWASIVZFRRJ-QRQLOZEOSA-N	Cc1ccc(cc1)S(=O)(=O)NCC[C@H]1CC[C@@H](NC(=O)CC2CC2)[C@H](CO)O1	54638797
4282	BRD-K15143651	BRD-K15143651	QHMZMKOJUGPHNS	QHMZMKOJUGPHNS-NHCUHLMSSA-N	OC[C@@H]1[C@@H](c2ccccc2)C2(CN(C2)C(=O)c2ccccc2F)N1CC1CC1	60192284
4283	BRD-K15146741	BRD-K15146741	ZUUUVKJMPUIRPC	ZUUUVKJMPUIRPC-IWHLBADBSA-N	C[C@@H](CO)N1C[C@@H](C)[C@H](CN(C)Cc2ccncc2)Oc3ccc(NC(=O)CCN4CCOCC4)cc3CC1=O	44487636
4284	BRD-K15160697	BRD-K15160697	ZJDDJVCOZFKVQY	ZJDDJVCOZFKVQY-UOOXCUFBSA-N	CO[C@@H]1CC[C@@H]2CCN(C)C(=O)C[C@@H](CN(C)C(=O)c3cc(ccc3OC[C@H]1O2)C#N)c1ccccc1	54649775
4285	BRD-K15164005	apoptosis-activator-II	KGRJPLRFGLMQMV	KGRJPLRFGLMQMV-UHFFFAOYSA-N	Clc1ccc(CN2C(=O)C(=O)c3ccccc23)cc1Cl	-666
4286	BRD-K15166186	TL-HRAS-27	VATZATKKARLDQT	VATZATKKARLDQT-UHFFFAOYSA-N	COc1ccc(cc1)C(N1CCN(CC1)C(=O)c1noc(C)c1[N+]([O-])=O)c1ccc(OC)cc1	49766549
4287	BRD-K15168329	BRD-K15168329	SNUUNLITQQJOCW	SNUUNLITQQJOCW-YTFSRNRJSA-N	OC[C@@H]1[C@H]2[C@H](CN(C(=O)Nc3cccc(Cl)c3)c3ccccc23)N1CC1CCOCC1	54652419
4288	BRD-K15171837	BRD-K15171837	LJTZBZLXVQJQJX	LJTZBZLXVQJQJX-OAGGEKHMSA-N	COCCNC(=O)C[C@H]1CC[C@@H](NC(=O)NC2CCCCC2)[C@H](CO)O1	54638387
4289	BRD-K15172981	BRD-K15172981	QARSUPNDRVVANH	QARSUPNDRVVANH-IUKKYPGJSA-N	CO[C@@H]1CN(C)C(=O)c2cc(NS(=O)(=O)c3cn(C)cn3)ccc2OC[C@H](C)N(CC2CC2)C[C@@H]1C	54631552
4290	BRD-K15178090	BRD-K15178090	DDFXZAACYDZOLE	DDFXZAACYDZOLE-AXHZCLLHSA-N	CO[C@@H]1CN(C)C(=O)c2ccc(NS(C)(=O)=O)cc2OC[C@H](C)N(CC2CCCCC2)C[C@@H]1C	54631328
4291	BRD-K15178935	BRD-K15178935	IZCYNDJXNVTGPG	IZCYNDJXNVTGPG-PMPSAXMXSA-N	OC[C@@H]1O[C@@H](CC(=O)Nc2nccs2)CC[C@@H]1NC(=O)CCN1CCCCC1	54638835
4292	BRD-K15179096	BRD-K15179096	DRBRVKGUSIXHOZ	DRBRVKGUSIXHOZ-AXMKBWGCSA-N	C[C@H](CO)N1C[C@@H](C)[C@H](CN(C)CC2CC2)OCCCC[C@@H](C)Oc3ccc(NS(=O)(=O)C)cc3C1=O	54615050
4293	BRD-K15181238	SA-1920080	RZMBMSVRIOKJNG	RZMBMSVRIOKJNG-AWYWERKOSA-N	COc1ccc(NC(=O)N2CCCCN3[C@@H](CO)[C@@H]([C@@H]3C2)c2ccc(\C=C\C)cc2)cc1	54667998
